TEST,mtt24,mtt48
t765,68.36808051761318,216.69658886894035
t767,89.14450035945356,199.102333931777
t769,73.54421279654917,314.36265709156135
t771,95.32710280373826,215.79892280071772
t773,139.18044572250173,430.1615798922793
t775,114.45003594536298,194.79353680430842
t777,86.1969805895039,349.73070017953256
t779,111.21495327102795,137.70197486534985
t781,87.63479511143058,439.676840215439
t783,71.67505391804453,145.06283662477531
t785,64.5578720345075,211.1310592459601
t787,80.87706685837522,207.54039497306965
t789,114.80948957584462,258.3482944344699
t791,66.13946800862684,158.88689407540363
t793,118.69158878504662,248.4739676840211
t796,179.42583732057417,50.705837466615776
t798,50.079744816586924,106.56238077069817
t800,110.68580542264752,73.78863029378098
t802,49.441786283891545,56.810377718428064
t804,84.76874003189792,73.48340328119033
t806,113.23763955342902,96.60434948492937
t808,71.21212121212122,58.71804654711939
t810,55.02392344497608,75.50553223960317
t812,80.78149920255183,75.65814574589848
t814,52.312599681020735,99.73292636398317
t816,98.4848484848485,46.69973292636397
t818,75.67783094098883,70.50743990843186
t820,51.03668261562999,73.36894315146888
t822,53.03030303030304,53.75810759252192
t824,69.53748006379587,79.93132392216708
