name,v,f,t,mtt24,mtt48
t2,9,12.17,4303.286842,110.0334448,112.6853377
t8,10.5,12.18,4205.660441,133.4448161,103.2948929
t10,11,12.18,4077.611088,158.5284281,100
t18,13,12.18,2981.276405,176.9230769,95.88138386
t24,14.5,12.19,5696.197298,126.4214047,78.4184514
t33,16.4,12.26,5686.68721,60.10869565,103.3687943
t35,17,12.27,8176.078093,72.2826087,139.7163121
t37,17.5,12.27,5816.03113,77.60869565,171.6312057
t39,18,12.28,6401.374363,85.32608696,167.0212766
t41,18.5,12.28,11564.12637,79.7826087,137.4113475
t43,13.2,14.63,8197.710824,75.86956522,179.6099291
t45,13.7,14.64,10120.59069,87.39130435,200
t47,14,14.64,8131.221217,112.173913,149.1134752
t49,14.5,14.64,8820.207591,56.08695652,165.9574468
t51,14.9,14.64,8310.839016,64.67391304,118.6170213
t53,15.5,14.64,8126.927566,77.06521739,199.1134752
t55,16,14.64,8462.552236,96.84782609,234.751773
t57,16.5,14.65,6883.083969,57.2826087,190.248227
t59,17,14.65,9445.746472,50.54347826,87.23404255
t61,17.5,14.65,8507.052782,60.43478261,109.751773
t63,10.6,15.16,7735.052167,98.87850467,157.5757576
t65,11,15.17,7772.94199,160.9345794,177.3386034
t67,11.5,15.17,13887.60835,83.17757009,226.2187088
t69,12,15.18,9379.561969,179.6261682,223.3201581
t71,12.5,15.18,5681.749513,171.4018692,182.0816864
t73,13,15.19,5053.870653,167.6635514,162.1870883
t75,13.5,15.19,6532.332805,181.3084112,191.1725955
t77,14,15.19,6500.487674,198.1308411,176.9433465
t79,14.5,15.19,6049.148831,248.7850467,217.9183136
t81,15,15.2,5294.390305,306.1682243,190.6455863
t83,15.5,15.18,5021.517373,204.6728972,190.9090909
t85,16,15.19,6392.105344,221.8691589,164.6903821
t87,16.5,15.19,10260.45221,282.6168224,182.0816864
t89,17,15.19,6958.531605,221.682243,110.5401845
t91,17.5,15.19,5225.596723,235.8878505,249.9341238
t99,12.8,16.37,5431.298994,122.9437229,23.79793061
t101,13.5,16.37,5001.009352,131.1688312,25.01521607
t103,14,16.38,3927.852975,148.4848485,36.70115642
t105,14.5,16.39,7649.705336,82.25108225,23.06755934
t107,15,16.39,4630.640621,125.974026,47.23067559
t109,15.5,16.4,3710.387616,117.965368,45.70906878
t111,16,16.4,4217.494256,98.91774892,58.42970177
t113,16.5,16.4,3767.338209,73.80952381,60.01217285
t115,17,16.4,4052.493508,110.3896104,54.7778454
t117,17.5,16.4,3860.708971,68.18181818,48.87401096
t119,18,16.4,4641.852592,102.8138528,61.59464394
t121,18.5,16.41,4404.378824,169.4805195,46.9872185
t123,11,16.41,4541.429676,69.6969697,89.95739501
t131,12.6,17.41,3902.290687,109.0512541,57.72311213
t135,13.5,17.41,5462.733886,156.9247546,78.03203661
t139,14.5,17.42,3674.333566,180.261723,54.17620137
t141,15,17.42,-85684.3501,133.3696838,144.7940503
t143,15.5,17.43,3559.350672,197.9280262,62.47139588
t145,16,17.43,5736.638436,220.610687,103.8901602
t147,16.5,17.43,4494.510415,194.8745911,59.38215103
t149,17,17.43,5447.151505,143.4023991,48.45537757
t151,17.5,17.43,5325.292469,194.5474373,59.95423341
t153,18,17.43,4854.378307,213.740458,42.6201373
t155,18.5,17.43,5825.197652,116.9029444,22.19679634
t161,11.5,18.04,5323.866684,132.0359281,262.8676471
t171,14,18.08,11836.02779,103.9670659,384.0073529
t173,14.5,18.09,4155.657613,161.6766467,214.1544118
t175,15,18.09,6024.660451,159.1317365,243.3823529
t177,15.5,18.09,4100.412911,100.5239521,222.0588235
t179,16,18.09,3840.520748,164.5958084,174.8161765
t181,16.5,18.09,5583.480332,108.3083832,263.6029412
t183,17,18.09,8771.914011,134.9550898,258.8235294
t185,17.5,18.1,7384.099208,81.36227545,330.1470588
t187,18,18.1,6467.146067,120.4341317,224.6323529
t191,19,18.23,5957.450318,91.92118227,117.7920686
t193,19.5,18.25,4964.243359,114.5812808,201.1789925
t195,20,18.26,5267.510227,106.3054187,212.2186495
t197,11.5,19.04,4939.862466,112.3152709,293.7834941
t199,12,19.06,5478.027631,123.7438424,210.7181136
t201,12.5,19.06,4595.659276,119.6059113,212.3258307
t203,13,19.07,4234.617533,128.4729064,339.1211147
t205,13.5,19.08,4577.967196,153.1034483,196.9989282
t207,14,19.09,5716.611825,74.48275862,209.0032154
t209,14.5,19.09,5216.33332,141.182266,154.9839228
t211,15,19.1,5307.657708,115.7635468,182.8510182
t213,15.5,19.1,4674.419068,223.8423645,126.3665595
t215,16,19.08,4612.820938,129.9507389,245.1232583
t217,16.5,19.09,4579.201829,106.7980296,304.2872454
t219,17.1,19.01,4641.538205,134.5812808,212.5401929
t230,16,20.4,3738.643743,197.2826087,56.81818182
t234,17,20.4,2715.976491,155.7065217,78.44155844
t236,17.5,20.4,2766.271596,457.3369565,63.11688312
t238,18,20.41,3163.611456,173.6413043,62.79220779
t240,18.5,20.4,5158.316279,448.9130435,60.71428571
t242,19,20.41,3168.772153,138.8586957,90.84415584
t244,19.5,20.42,6344.302312,342.9347826,77.72727273
t246,20,20.42,4956.370519,266.0326087,69.28571429
t248,20.5,20.42,4995.389822,279.3478261,80.51948052
t254,9,11.39,4592.43108,358.3690987,21.90281899
t256,9.5,11.4,4538.791872,143.776824,57.93768546
t258,10,11.4,3745.210092,239.055794,26.89169139
t260,10.5,11.4,3626.366473,284.9785408,12.87091988
t262,11,11.4,3567.066938,269.0987124,22.01409496
t264,11.5,11.41,4882.337062,193.9914163,22.53338279
t266,12,11.4,4601.146102,203.4334764,27.44807122
t268,12.5,11.41,4482.918638,139.055794,15.91246291
t270,13,11.41,4449.778203,241.6309013,20.34495549
t272,13.5,11.41,4913.828932,193.1330472,12.35163205
t274,14,11.41,4525.469844,295.7081545,18.97255193
t276,14.5,11.41,4613.630315,193.5622318,12.01780415
t278,15,11.41,4558.061301,388.4120172,16.35756677
t280,15.5,11.42,4561.613328,217.167382,12.8152819
t282,16,11.42,4449.545811,291.416309,16.06083086
t300,10.7,14.56,3638.571761,193.4918648,194.235589
t302,11,14.56,3485.390882,150.8135169,437.0927318
t304,11.2,14.56,3578.911487,224.9061327,205.0125313
t306,11.5,14.56,3546.679337,190.9887359,361.6541353
t308,11.7,14.56,3564.3363,159.1989987,263.6591479
t310,12,14.57,6475.971297,142.0525657,482.2055138
t312,12.2,14.57,6389.852397,160.4505632,320.5513784
t314,12.5,14.58,5991.692297,149.5619524,444.1102757
t318,13.2,14.54,5249.558824,85.09036145,78.67247008
t320,13.5,14.55,4705.115561,90.51204819,144.1784548
t322,13.7,14.56,5266.17942,135.5421687,101.0881393
t324,14,14.56,5009.880228,117.0180723,120.4570185
t326,14.3,14.57,4939.030509,184.939759,131.0119695
t328,14.5,14.57,3944.37381,197.5903614,221.9804135
t330,14.7,14.58,4342.047339,170.3313253,221.1099021
t332,15,14.58,4259.883377,254.0662651,343.960827
t334,15.2,14.59,4252.896189,201.9578313,280.304679
t336,15.5,14.59,4270.438448,172.7409639,230.9031556
t338,15.7,14.59,4339.752914,172.5903614,278.5636561
t340,16,14.59,4360.545192,168.2228916,234.820457
t342,16.2,14.6,4387.487906,263.1024096,293.7976061
t344,16.5,14.6,4647.854588,275.6024096,191.5125136
t346,16.7,14.6,4371.448755,334.4879518,137.6496192
t350,10,15.13,4405.141576,110.0831601,133.5347432
t354,10.5,15.16,4812.006185,98.64864865,115.2567976
t358,11.2,15.18,4761.287269,108.5239085,227.0392749
t360,11.4,15.18,4566.28666,118.6070686,155.5891239
t362,11.6,15.19,4897.468072,133.2640333,294.4108761
t364,11.8,15.19,3131.311371,80.66528067,204.3806647
t366,12.4,15.2,4825.855812,133.991684,249.0936556
t368,12.6,15.2,4419.543079,199.0644491,188.3685801
t370,12.8,15.2,4300.838589,114.3451143,246.3746224
t372,13.2,15.21,4612.073234,163.2016632,383.836858
t374,13.4,15.21,4367.833062,166.008316,325.9818731
t376,13.6,15.21,4301.950795,99.06444906,310.7250755
t378,13.8,15.21,4516.739801,168.9189189,460.4229607
t382,14.4,15.24,4627.500696,113.2013201,40.12474012
t384,14.6,15.26,4880.526494,105.1705171,96.36174636
t386,14.8,15.28,5057.582648,103.190319,80.56133056
t388,15.2,15.29,4633.262639,98.34983498,135.2390852
t390,15.4,15.29,5074.178143,70.95709571,117.983368
t392,15.8,15.3,5117.750473,110.4510451,94.28274428
t394,15.6,15.29,3778.150055,121.8921892,150.7276507
t396,16.2,15.3,3754.958125,121.4521452,200.6237006
t398,16.4,15.31,3752.597532,149.0649065,209.8752599
t400,16.6,15.31,3801.624905,115.8415842,130.8731809
t402,16.8,15.31,3807.737232,170.0770077,235.3430353
t404,17.2,15.32,3930.483411,105.8305831,120.6860707
t406,17.4,15.33,3836.273854,172.0572057,256.029106
t408,17.6,15.33,3996.885925,122.5522552,68.3991684
t410,17.8,15.33,4065.290209,124.8624862,102.8066528
t414,18.4,15.4,3643.150478,311.8003026,280.7150596
t416,18.6,15.43,3924.570078,183.9636914,340.6283857
t418,18.8,15.46,3916.134177,180.7866868,356.0130011
t420,19.2,15.47,3726.035147,228.4417549,230.9859155
t422,19.4,15.47,3783.425806,207.8668684,282.2318527
t424,11,16.33,3876.499869,171.8608169,226.9772481
t432,12.5,16.37,4117.648543,215.279879,143.9869989
t434,13,16.37,3819.383447,246.4447806,181.4734561
t436,13.2,16.37,-14559.55154,167.9273828,195.1245937
t438,13.8,16.38,3714.775909,238.7291982,178.1148429
t440,14.2,16.38,3775.353562,123.2980333,97.18309859
