name,mtt24,mtt48
t1,117.0568562,76.44151565
t7,142.8093645,120.5930807
t9,210.367893,160.1317957
t13,213.7123746,99.01153213
t17,198.3277592,117.7924217
t23,118.0602007,78.74794069
t32,64.56521739,169.5035461
t34,60.76086957,102.3049645
t36,105.8695652,170.035461
t38,187.5,133.3333333
t40,75.76086957,173.4042553
t42,75.76086957,112.4113475
t44,78.26086957,207.9787234
t46,81.30434783,150.177305
t48,111.5217391,183.8652482
t50,124.0217391,170.5673759
t52,92.7173913,240.4255319
t54,85.0,151.7730496
t56,83.91304348,183.1560284
t58,61.30434783,165.070922
t60,50.43478261,87.94326241
t62,57.7173913,85.46099291
t62a,148.0373832,165.085639
t64,119.0654206,191.831357
t66,161.3084112,182.740448
t68,85.23364486,182.740448
t70,146.9158879,196.8379447
t72,135.5140187,144.400527
t74,174.953271,171.1462451
t76,132.7102804,183.6627141
t78,255.3271028,154.6772069
t80,202.9906542,121.0803689
t82,295.5140187,264.0316206
t84,234.953271,289.5915679
t86,229.5327103,194.8616601
t88,406.1682243,265.2173913
t90,222.2429907,232.0158103
t94,102.3809524,65.79427876
t96,72.29437229,28.48447961
t98,135.4978355,24.77175898
t100,111.038961,29.33657943
t102,158.6580087,32.80584297
t104,112.1212121,44.91783323
t106,103.2467532,42.42239805
t108,152.8138528,59.40353013
t110,210.3896104,77.29762629
t112,88.74458874,61.83810103
t114,98.7012987,61.89896531
t116,134.4155844,38.40535606
t118,109.95671,58.49056604
t120,85.93073593,75.65429093
t122,206.0606061,43.82227632
t124,152.5974026,75.65429093
t134,209.1603053,142.6773455
t138,172.1919302,129.0045767
t140,101.9629226,24.65675057
t142,172.7371865,128.0892449
t144,142.6390403,28.48970252
t146,295.2017448,98.3409611
t148,110.0327154,33.63844394
t150,203.1624864,70.65217391
t152,138.2769902,21.73913043
t154,206.9792803,41.4187643
t156,75.68157034,15.84668192
t160,90.11976048,207.5367647
t166,114.2964072,270.4044118
t170,137.6497006,267.4632353
t172,106.0628743,204.5955882
t174,187.3502994,230.1470588
t176,146.6317365,253.6764706
t178,147.9790419,203.3088235
t180,153.1437126,175.3676471
t182,136.9760479,360.6617647
t184,116.6916168,190.4411765
t186,107.1107784,366.9117647
t188,153.5179641,152.7573529
t190,172.8078818,92.71168274
t192,67.78325123,89.49624866
t194,127.3891626,259.2711683
t196,83.84236453,163.3440514
t198,115.5665025,347.8027867
t200,95.86206897,200.750268
t202,96.84729064,478.1350482
t204,88.76847291,199.6784566
t206,138.817734,284.3515541
t208,105.4187192,148.8745981
t210,125.7142857,124.8660236
t212,238.4236453,126.2593783
t214,153.0049261,216.1843516
t216,125.2216749,139.4426581
t218,113.3990148,174.812433
t220,141.2807882,168.0600214
t227,108.423913,39.15584416
t229,305.4347826,54.15584416
t233,259.7826087,67.4025974
t235,179.3478261,112.1428571
t237,352.9891304,82.46753247
t239,102.4456522,71.94805195
t241,323.9130435,121.5584416
t243,80.16304348,58.05194805
t245,247.5543478,163.7662338
t247,100.0,65.06493506
t253,139.055794,67.47032641
t255,681.1158798,14.31750742
t257,194.4206009,19.23219585
t259,315.4506438,17.08086053
t261,343.3476395,20.14094955
t263,303.8626609,23.62759644
t265,245.4935622,17.22922849
t267,452.360515,26.52077151
t269,294.8497854,12.70400593
t271,392.7038627,24.01706231
t273,307.7253219,26.59495549
t275,440.7725322,19.95548961
t277,294.4206009,15.83827893
t279,209.4420601,13.70548961
t281,277.2532189,19.88130564
t283,256.223176,14.9851632
t299,96.12015019,453.3834586
t301,194.2428035,435.0877193
t303,129.9123905,392.7318296
t305,202.5031289,474.6867168
t307,151.689612,347.8696742
t309,141.6770964,451.1278195
t311,116.7709637,473.1829574
t313,162.077597,362.9072682
t315,108.0100125,475.6892231
t317,120.7831325,102.0674646
t319,112.8012048,31.6648531
t321,172.439759,122.4156692
t323,125.3012048,39.71708379
t325,218.2228916,188.6833515
t327,193.0722892,93.0359086
t329,195.9337349,235.5821545
t331,235.8433735,105.1142546
t333,201.5060241,222.3068553
t335,231.1746988,165.8324266
t337,185.3915663,306.7464635
t339,150.9036145,263.1120783
